existential,question,conditional,npn
2.407573959993897,2.430616794998059,2.4133729159948416,2.413284737995127
2.433414058003109,2.4397750310017727,2.433225077998941,2.414374462008709
2.417830104008317,2.4707790029933676,2.442885536001995,2.4516447860078188
2.4172728230041685,2.4367022329970496,2.412426487004268,2.419718778997776
2.444777739001438,2.44962392198795,2.4364830319973407,2.4302141730004223
2.415870539000025,2.492725967997103,2.432368446010514,2.423406060988782
2.413258380998741,2.409348630986642,2.4352203529997496,2.4632506390044
2.4052199059951818,2.4735888599971076,2.4469580029981444,2.442885265001678
2.4681929829966975,2.443124886995065,2.4386332150024828,2.4162944220006466
2.415377678000368,2.537452172007761,2.445551679993514,2.4525954970013117
2.430282025001361,2.4569604730058927,2.4321318050060654,2.418448169992189
2.4129435579961864,2.423781007004436,2.406991686002584,2.424160384995048
2.4145266539999284,2.4611258340009954,2.4283904929907294,2.4226436269964324
2.3858985129918437,2.430671002002782,2.4574428369960515,2.4660961339977803
2.4154885909956647,2.468842627000413,2.442115361991455,2.431854288006434
2.409823010006221,2.4252472070074873,2.431238064993522,2.435943550997763
2.407216146006249,2.436209368999698,2.409606487999554,2.4336380629974883
2.4119618980039377,2.458352900997852,2.432993451002403,2.469046102007269
2.419605171002331,2.441571285002283,2.447806006995961,2.426940367993666
2.4118650599994,2.4592642089992296,2.417573397004162,2.4312637920083944
2.4208167910110205,2.4646276900020894,2.4161262790003093,2.4533920349931577
2.394730102008907,2.460840724001173,2.41797649700311,2.429141874992638
2.4297130630002357,2.475852539995685,2.4231308989983518,2.4270493329968303
2.4189058349875268,2.440642270987155,2.433253117997083,2.407835893012816
2.435071528001572,2.4275986599968746,2.4301544159970945,2.416077761008637
2.425744915002724,2.4375661619997118,2.424840834995848,2.437662096999702
2.417181062992313,2.453339773011976,2.415177570990636,2.425360424997052
2.4265120969939744,2.4044158080068883,2.42497628799174,2.4185318160016323
2.4715475339908153,2.466157208997174,2.430043796004611,2.402013598999474
2.3958026629989035,2.4489308159973007,2.441504487011116,2.4281366049981443
2.4098842709936434,2.444958106992999,2.4218100770085584,2.432367638000869
2.433150343989837,2.4446869699895615,2.4635738099896116,2.4180491779989097
2.421562971008825,2.442020015005255,2.4164037330046995,2.438041785993846
2.4332222959928913,2.4465794559946517,2.4472146810003323,2.4301906480104662
2.4225005740008783,2.4219319650001125,2.41678318400227,2.443193382001482
2.4443787150084972,2.4444374669983517,2.4652365060028387,2.448471622992656
2.4012823719967855,2.4303511710022576,2.4227612930117175,2.4599846929922933
2.4084297160006827,2.467365468997741,2.4495423960033804,2.4350590399990324
2.414299659008975,2.4321271350054303,2.437042649995419,2.4484167270129547
2.437695717002498,2.4786214049963746,2.4196981550048804,2.4503081500006374
2.398653096999624,2.448276929993881,2.434190559986746,2.4350938930001575
2.4172778180072783,2.428971145011019,2.427820694007096,2.410425330992439
2.4194107920047827,2.4277727699954994,2.4542466389975743,2.4233841259992914
2.4025562220049324,2.434117770011653,2.437623521007481,2.4319231729896273
2.3883864679955877,2.4371617440046975,2.4375057790020946,2.417988638000679
2.4323254650080344,2.4473439150024205,2.422074935006094,2.4302804700128036
2.4153035060007824,2.4404645250033354,2.430704706988763,2.430355406002491
2.4278301050071605,2.4469522529980168,2.406339968991233,2.419328931006021
2.428672274996643,2.4552171910036122,2.416067073994782,2.4000968909967924
2.4425231930072187,2.4303325439977925,2.4096704089897685,2.4278957859933143
2.426826233990141,2.4229125840065535,2.4187665469944477,2.45780539700354
2.4059483659948455,2.458528243994806,2.4474399070022628,2.415742158991634
2.4065701630024705,2.430447926002671,2.4299284129956504,2.423711651004851
